url,size,# of outlinks,content type
http://www.latimes.com/travel/deals/91957030-132.html,160406,44,text/html
http://www.latimes.com/travel/california/la-tr-1118-top15-pg-photogallery.html,191090,44,text/html
http://www.latimes.com/travel/la-tr-overwater-bungalows-20170212-story.html,278044,76,text/html
http://www.latimes.com/travel/la-weekend-escapes-20120514-storygallery.html,252596,69,text/html
http://www.latimes.com/travel/la-tr-great-wall-china-20170205-story.html,1817571,69,text/html
http://www.latimes.com/travel/deals/la-tr-ski-roundup-20161129-story.html,257519,104,text/html
http://www.latimes.com/travel/la-tr-d-nps-caverns-20160215-htmlstory.html,174076,89,text/html
http://www.latimes.com/travel/themeparks/,278352,105,text/html
http://www.latimes.com/travel/la-tr-white-hours-tours-resume-20170214-story.html,177131,70,text/html
http://www.latimes.com/travel/deals/92267905-132.html,162182,46,text/html
http://www.latimes.com/local/california/91623288-132.html,160955,44,text/html
http://www.latimes.com/travel/deals/91680867-132.html,164338,48,text/html
http://www.latimes.com/travel/california/la-tr-d-postcard-crater-lake-main-20150726-story.html,250222,65,text/html
http://www.latimes.com/visuals/video/91212478-132.html,163126,49,text/html
http://www.latimes.com/travel/deals/la-tr-escape-lompoc-20170208-story.html,1297902,66,text/html
http://www.latimes.com/travel/la-tr-postcards-from-the-west-hanalei-hawaii-20140418-dto-htmlstory.html,180211,98,text/html
http://www.latimes.com/travel/la-tr-nps-statue-of-liberty-20160621-snap-story.html,223195,76,text/html
http://www.latimes.com/travel/deals/92144549-132.html,160146,46,text/html
http://www.latimes.com/travel/california/missions/,260851,76,text/html
http://www.latimes.com/travel/la-postcards-from-the-west-20130614-sg-storygallery.html,220167,50,text/html
http://www.latimes.com/travel/deals/la-tr-recs-20170108-story.html,206087,59,text/html
http://www.latimes.com/travel/deals/91239606-132.html,163393,46,text/html
http://www.latimes.com/travel/california/la-tr-nps-manhattan-project-hanford-20160424-htmlstory.html,179654,88,text/html
http://www.latimes.com/travel/la-tr-haida-gwaii-20170129-story.html,2214280,70,text/html
http://www.latimes.com/travel/la-tr-california-bucket-list-updates-schmooze-with-jellyfish-at-monterey-s-1484071685-htmlstory.html,158054,50,text/html
http://www.latimes.com/travel/deals/92551416-132.html,161568,46,text/html
http://www.latimes.com/travel/asia/,209127,65,text/html
